ZIP,returns,total,farmers
91406,23460.0,1081220.0,0.0
91411,10310.0,500200.0,0.0
91423,16650.0,1779442.0,0.0
91436,9200.0,3680776.0,0.0
91501,9730.0,651267.0,0.0
91502,5480.0,269633.0,0.0
91504,12300.0,890616.0,0.0
91505,16660.0,1226602.0,0.0
91506,9700.0,684985.0,0.0
91601,19120.0,817451.0,0.0
91602,10800.0,943857.0,0.0
91604,15860.0,1921996.0,0.0
91605,23960.0,814949.0,0.0
91606,19750.0,713667.0,0.0
91607,14820.0,1002608.0,0.0
91701,18580.0,1260567.0,0.0
91702,25050.0,1038119.0,0.0
91706,32340.0,1101394.0,0.0
91708,3440.0,245394.0,0.0
91709,33470.0,2712703.0,20.0
91710,32820.0,1710371.0,30.0
91711,15510.0,1488394.0,30.0
91722,16320.0,755224.0,0.0
91723,8680.0,412326.0,0.0
91724,12120.0,790452.0,0.0
91730,29260.0,1545443.0,0.0
91731,11590.0,403140.0,0.0
91732,24800.0,797371.0,0.0
91733,17660.0,524944.0,0.0
91737,11130.0,954090.0,0.0
91739,15160.0,1305452.0,0.0
91740,11950.0,697800.0,0.0
91741,12110.0,1126374.0,20.0
91744,35960.0,1220355.0,0.0
91745,24930.0,1513989.0,0.0
91746,13160.0,496473.0,0.0
91748,20750.0,1100658.0,0.0
91750,15890.0,1262795.0,0.0
91752,12420.0,596321.0,30.0
91754,16950.0,896996.0,0.0
91755,13320.0,563871.0,0.0
91761,25500.0,1177688.0,0.0
91762,24840.0,960922.0,20.0
91763,15930.0,593145.0,0.0
91764,22530.0,796740.0,0.0
91765,21490.0,1696435.0,0.0
91766,27970.0,1049937.0,0.0
91767,20030.0,769094.0,0.0
91768,12700.0,448983.0,0.0
91770,27900.0,1009456.0,0.0
91773,16180.0,1180855.0,0.0
91775,10930.0,802978.0,0.0
91776,18330.0,693874.0,0.0
91780,16210.0,921020.0,0.0
91784,12470.0,1239980.0,30.0
91786,22780.0,1085597.0,0.0
91789,20050.0,1630877.0,0.0
91790,20050.0,942801.0,0.0
91791,14780.0,1056379.0,0.0
91792,13510.0,645954.0,0.0
91801,24720.0,1165475.0,0.0
91803,14230.0,649741.0,0.0
91901,7190.0,598626.0,30.0
91902,8580.0,659942.0,0.0
91905,620.0,28914.0,0.0
91906,1440.0,65980.0,30.0
91910,35940.0,1791151.0,0.0
91911,38820.0,1566167.0,0.0
91913,19090.0,1325166.0,0.0
91914,6760.0,647705.0,0.0
91915,11290.0,853238.0,0.0
91916,860.0,56766.0,0.0
91917,440.0,16868.0,0.0
91932,11870.0,464421.0,0.0
91934,250.0,8458.0,0.0
91935,4220.0,383661.0,50.0
91941,15430.0,1172331.0,20.0
91942,19090.0,1051368.0,0.0
91945,11890.0,504058.0,0.0
91950,24720.0,823725.0,0.0
91962,920.0,63787.0,0.0
91963,540.0,18009.0,0.0
91977,26150.0,1206664.0,0.0
91978,4390.0,234372.0,0.0
91980,910.0,25356.0,0.0
92003,2570.0,214821.0,250.0
92004,1300.0,62204.0,0.0
92007,5980.0,656870.0,0.0
92008,13920.0,1196469.0,30.0
92009,19590.0,2540627.0,30.0
92010,7220.0,626176.0,0.0
92011,10740.0,1264194.0,0.0
92014,7320.0,1639517.0,30.0
