Price,Bedrooms,Bathrooms,Size,Santa Maria-Orcutt (0/1),Paso Robles (0/1),Atascadero (0/1),Nipomo (0/1),Arroyo Grande (0/1),Lompoc (0/1),Los Osos (0/1),Grover Beach (0/1), Paso Robles (0/1),San Miguel (0/1)
199900.0,3,2,1275,1,0,0,0,0,0,0,0,0,0
329000.0,3,2,1700,0,1,0,0,0,0,0,0,0,0
337000.0,4,2,2000,1,0,0,0,0,0,0,0,0,0
199000.0,2,1,792,0,0,1,0,0,0,0,0,0,0
199900.0,3,2,1238,1,0,0,0,0,0,0,0,0,0
229900.0,3,2,1400,1,0,0,0,0,0,0,0,0,0
349000.0,3,2,1346,0,0,0,0,0,0,0,1,0,0
229900.0,3,2,1041,0,0,1,0,0,0,0,0,0,0
129900.0,3,1,1042,1,0,0,0,0,0,0,0,0,0
199900.0,4,2,1338,0,0,0,0,0,1,0,0,0,0
449900.0,4,3,3035,0,0,0,0,0,1,0,0,0,0
95000.0,2,2,900,1,0,0,0,0,0,0,0,0,0
78500.0,1,1,800,1,0,0,0,0,0,0,0,0,0
289900.0,4,3,2400,1,0,0,0,0,0,0,0,0,0
174900.0,3,2,1100,1,0,0,0,0,0,0,0,0,0
575000.0,3,3,2095,0,0,0,0,0,0,0,1,0,0
319900.0,4,2,2135,0,1,0,0,0,0,0,0,0,0
179900.0,3,2,1200,1,0,0,0,0,0,0,0,0,0
249250.0,2,1,728,0,0,0,0,1,0,0,0,0,0
89000.0,3,2,1560,0,1,0,0,0,0,0,0,0,0
197600.0,4,2,1378,1,0,0,0,0,0,0,0,0,0
185000.0,3,2,1257,1,0,0,0,0,0,0,0,0,0
599000.0,3,2,2774,0,0,1,0,0,0,0,0,0,0
269900.0,4,2,1601,0,0,0,0,0,0,0,0,0,1
109900.0,3,2,1100,1,0,0,0,0,0,0,0,0,0
229900.0,4,3,1857,1,0,0,0,0,0,0,0,0,0
269000.0,3,3,1800,1,0,0,0,0,0,0,0,0,0
240000.0,2,2,1020,0,0,0,0,0,0,0,1,0,0
265000.0,1,1,566,0,0,0,0,0,0,0,1,0,0
330000.0,3,3,1889,0,1,0,0,0,0,0,0,0,0
450000.0,2,2,1463,0,0,1,0,0,0,0,0,0,0
165000.0,2,2,1000,1,0,0,0,0,0,0,0,0,0
175000.0,3,2,1200,1,0,0,0,0,0,0,0,0,0
250000.0,3,2,1425,0,1,0,0,0,0,0,0,0,0
