,County Name,State,ObamaVotes.12,RomneyVotes.12,votes_dem.16,votes_gop.16,total_votes.16,per_dem.16,per_gop.16,diff.16,per_point_diff.16,bushVote.04,kerryVote.04,Total.Precincts.08,Precincts.Reporting.08,Obama.08,McCain.08,Other.08,name,x_coord,y_coord,state_abbr,total_population,white_population,white_population_error,black_population,black_population_error,total_households,average_household_size,average_family_size,fertility,enrolled_hs,enrolled_higher_ed,edu_less_than_9th,edu_hs_no_diploma,edu_hs_diploma,edu_college_no_degree,edu_college_bachelors,edu_college_graduate_professional,in_labor_force_yes,in_labor_force_no,public_transportation_to_work,working_at_home,occupation_management_business_science_arts,income_less_than_10000,income_10000_to_24999,income_25000_to_49999,income_50000_to_99999,income_100000_to_149999,income_150000_to_199999,income_more_than_200000
878,emmons,north dakota,383,1430,215,1672,1959,0.1097498724,0.853496682,418,2379,1449,608,5,5,545,1226,61,Emmons,-100.236848,46.284744,ND,3617,3596,482,NA,NA,1608,2.2,2.79,50,220,73,419,144,972,499,303,66,1725,1199,0,314,758,178,395,497,403,94,94,20
879,emporia,virginia,1793,886,1531,792,2367,0.6468103084,0.3346007605,2369,759,970,1247,7,7,1702,897,17,Emporia city,-77.536704,36.694793,VA,5822,1918,527,3641,503,2406,2.36,3.07,120,258,193,501,618,1458,622,297,312,2607,1937,0,51,846,500,417,738,543,113,113,45
880,erath,texas,1965,10325,2159,11205,13810,0.1563359884,0.8113685735,2630,2153,9499,2408,21,21,3126,10757,103,Erath,-98.215626,32.23397,TX,37142,31870,915,NA,NA,13877,2.54,3.08,515,2119,5575,1965,2460,5832,5205,3510,1667,19072,10655,10,722,5511,1613,2779,4161,3566,1144,1144,321
881,erie,new york,220184,159678,192065,173817,383248,0.5011506909,0.4535366134,699,1424,171061,230986,986,911,218645,154716,5769,Erie,-78.784908,42.75495,NY,921202,741195,105,123134,1161,378080,2.36,3.03,11237,51987,76210,21962,50323,187336,115020,102232,79219,468734,273497,17995,10677,158470,34462,67302,95427,115448,42181,42181,10251
882,erie,ohio,20969,16655,15692,19301,36730,0.4272257011,0.5254832562,1495,2550,18019,20652,62,62,22277,17080,639,Erie,-82.614102,41.512729,OH,77454,67406,437,6444,524,31855,2.38,2.89,761,4620,3251,1565,4403,22033,10817,7003,3828,39455,22980,170,955,10730,2278,5664,8961,9677,3719,3719,666
883,erie,pennsylvania,65136,46102,54820,57168,117240,0.467587854,0.4876151484,970,351,56895,67067,155,155,74206,49284,1534,Erie,-80.104148,42.10335,PA,279234,248289,876,18911,887,108252,2.46,3.06,3558,15771,23334,5104,15018,77613,29505,26755,15887,138351,84354,1803,2899,40574,9793,21074,29490,33489,10096,10096,1927
884,escambia,alabama,5476,9263,4698,10282,15213,0.3088148294,0.6758693223,2015,965,8513,3814,34,34,5176,9365,91,Escambia,-87.162695,31.136909,AL,37996,24065,195,11936,79,13804,2.51,3.06,1235,2198,1391,2184,4818,9135,4757,1907,921,14918,15282,44,495,3358,2178,3377,3820,3354,801,801,117
885,escambia,florida,58154,88671,57114,88370,151609,0.3767190602,0.5828809635,1322,380,93367,48243,90,90,61152,90826,1456,Escambia,-87.332598,30.60728,FL,297940,208376,889,66202,996,113313,2.44,3.01,4184,14626,22997,7306,18445,57624,47222,28646,16778,150620,90682,998,9776,39573,9910,22060,31900,33949,9759,9759,2814
886,esmeralda,nevada,92,317,65,329,423,0.1536643026,0.7777777778,1100,2053,367,98,5,5,104,303,38,Esmeralda,-117.632074,37.785829,NV,892,842,196,NA,NA,507,1.76,2.53,11,41,51,40,81,282,156,114,46,393,401,0,30,85,51,133,113,124,45,45,36
887,essex,massachusetts,208723,149808,220027,135405,376140,0.5849603871,0.3599856436,2549,439,135114,194068,236,236,208323,136905,5742,Essex,-70.873647,42.642845,MA,735642,603325,392,24472,1110,282913,2.55,3.16,7767,43378,48456,26766,32173,133752,84619,108384,71688,393691,190141,17019,15386,149204,19903,38785,54335,83340,46823,46823,20109
